Mode,Fold,Selected_Model,R2_outer,MAE_outer,N_train,N_test,N_features_total,N_features_selected,N_predictions_clipped,Time_s
rdkit2d_fp,2,ET+LGBM+XGB,0.7412257432236222,0.507703543847157,605,151,2265,1250,0,760.3719358444214
rdkit2d_fp,3,ET+LGBM+SVM,0.7921182863608953,0.45075711480277963,605,151,2265,1247,0,711.9168195724487
rdkit2d_fp,4,RF+XGB+SVM,0.6804555289515378,0.462026839727664,605,151,2265,1275,0,738.7374088764191
rdkit2d_fp,5,ET+LGBM+SVM,0.7893399845169428,0.4663998078008283,604,152,2265,1265,0,718.0560667514801
rdkit2d_fp,6,RF+ET+SVM,0.7418236589188416,0.498981749617906,605,151,2265,1259,0,821.6251304149628
rdkit2d_fp,7,ET+SVM+kNN,0.7608780305331331,0.4807157601681427,605,151,2265,1244,0,725.2632069587708
rdkit2d_fp,8,ET+LGBM,0.775069904785293,0.41110166851487745,605,151,2265,1279,0,739.8522837162018
rdkit2d_fp,9,ET+LGBM,0.5515198914151208,0.5661350827919316,605,151,2265,1251,0,783.9387722015381
rdkit2d_fp,10,ET+LGBM+kNN,0.7456610715776386,0.5159659995201695,604,152,2265,1266,0,715.015303850174
rdkit2d_fp,11,ET+LGBM+SVM,0.7866399728677425,0.44623640104328666,605,151,2265,1240,0,734.2818953990936
rdkit2d_fp,12,ET+SVM+kNN,0.7312236851648938,0.4456191036601259,605,151,2265,1275,0,766.6990439891815
rdkit2d_fp,13,ET+LGBM+SVM,0.7551756640304426,0.45437857607644205,605,151,2265,1260,0,746.9237723350525
rdkit2d_fp,14,RF+ET+LGBM,0.6762992728260673,0.5471065565665474,605,151,2265,1279,0,775.7407939434052
